epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.997,0.62911,0.90768,1.00554,0.95711,0.92259,0.97164,0.86627,0.46929,0.50859,0.86587,0.000665269,0.000665269,0.000665269
2,328.403,0.65103,0.62831,1.01875,0.96035,0.93306,0.97565,0.88206,0.45961,0.43657,0.86118,0.00128798,0.00128798,0.00128798
3,489.24,0.63251,0.58564,1.01256,0.94234,0.87405,0.94149,0.83022,0.51368,0.49528,0.89259,0.00186669,0.00186669,0.00186669
4,649.712,0.61971,0.55426,1.00607,0.96031,0.95662,0.98107,0.90306,0.4039,0.36619,0.84213,0.001802,0.001802,0.001802
5,807.232,0.58599,0.5169,0.99395,0.97275,0.95737,0.9869,0.92341,0.37399,0.31959,0.82372,0.001736,0.001736,0.001736
6,965.859,0.56334,0.49428,0.98424,0.96878,0.93429,0.97439,0.90533,0.40078,0.3606,0.83909,0.00167,0.00167,0.00167
7,1124.07,0.54957,0.47891,0.97739,0.96476,0.96279,0.9856,0.92803,0.34891,0.29898,0.82574,0.001604,0.001604,0.001604
8,1285.85,0.53397,0.45552,0.96909,0.97251,0.96578,0.98942,0.93314,0.35175,0.28674,0.81981,0.001538,0.001538,0.001538
9,1449.61,0.52479,0.45719,0.96641,0.97587,0.95755,0.98607,0.93447,0.34066,0.28607,0.8165,0.001472,0.001472,0.001472
10,1610.79,0.51871,0.44367,0.96464,0.98234,0.97345,0.99179,0.94392,0.32186,0.25208,0.7961,0.001406,0.001406,0.001406
11,1771.98,0.51284,0.43642,0.96125,0.98199,0.97008,0.99091,0.9474,0.31637,0.24819,0.80432,0.00134,0.00134,0.00134
12,1934.18,0.50004,0.42633,0.95751,0.98099,0.9684,0.99168,0.94594,0.31174,0.25209,0.80354,0.001274,0.001274,0.001274
13,2092.9,0.4963,0.41914,0.95621,0.98359,0.97529,0.99252,0.95459,0.28596,0.23603,0.79125,0.001208,0.001208,0.001208
14,2252.47,0.48969,0.41353,0.95329,0.98365,0.97588,0.99243,0.9511,0.29214,0.23541,0.79667,0.001142,0.001142,0.001142
15,2411.79,0.48361,0.40636,0.94964,0.98435,0.97775,0.99313,0.95363,0.30509,0.23063,0.796,0.001076,0.001076,0.001076
16,2569.29,0.47673,0.40251,0.94757,0.98576,0.9742,0.99359,0.95545,0.29005,0.22387,0.79504,0.00101,0.00101,0.00101
17,2727.85,0.47241,0.38853,0.94418,0.98728,0.97625,0.9936,0.96011,0.27159,0.21347,0.78697,0.000944,0.000944,0.000944
18,2888.39,0.46804,0.38691,0.94393,0.98606,0.97908,0.99375,0.95951,0.27259,0.21278,0.78867,0.000878,0.000878,0.000878
19,3048.99,0.45872,0.3812,0.93976,0.98991,0.97476,0.99331,0.96391,0.25503,0.20324,0.78517,0.000812,0.000812,0.000812
20,3206.29,0.45442,0.37661,0.93704,0.98883,0.97775,0.99388,0.96379,0.2607,0.2002,0.7803,0.000746,0.000746,0.000746
21,3359.97,0.38289,0.29269,0.89317,0.98887,0.9804,0.99393,0.96617,0.27118,0.19946,0.78589,0.00068,0.00068,0.00068
22,3511.72,0.37771,0.28522,0.89434,0.98923,0.97903,0.99419,0.96646,0.26603,0.19386,0.77833,0.000614,0.000614,0.000614
23,3664.78,0.36703,0.27561,0.88598,0.99183,0.97633,0.99422,0.96832,0.25352,0.18812,0.77325,0.000548,0.000548,0.000548
24,3815.78,0.36707,0.26984,0.88887,0.98716,0.98298,0.99438,0.96872,0.25422,0.18514,0.77512,0.000482,0.000482,0.000482
25,3965.54,0.35777,0.26271,0.88118,0.99073,0.97879,0.99435,0.96915,0.25064,0.18251,0.77049,0.000416,0.000416,0.000416
26,4115.26,0.35612,0.25985,0.88385,0.99019,0.98186,0.99444,0.96792,0.25232,0.17868,0.77141,0.00035,0.00035,0.00035
27,4266.61,0.35019,0.25277,0.88219,0.9903,0.98317,0.99449,0.97197,0.2459,0.17405,0.76806,0.000284,0.000284,0.000284
28,4418.08,0.33931,0.24372,0.8725,0.99103,0.98242,0.99455,0.97266,0.2419,0.16876,0.76944,0.000218,0.000218,0.000218
29,4566.57,0.33704,0.23741,0.87645,0.993,0.98203,0.99463,0.97381,0.23547,0.1634,0.76573,0.000152,0.000152,0.000152
30,4715.92,0.33447,0.23357,0.87182,0.99292,0.97999,0.99457,0.97423,0.2353,0.16139,0.76448,8.6e-05,8.6e-05,8.6e-05
1,170.833,0.62911,0.90768,1.00554,0.95711,0.92259,0.97165,0.86625,0.46808,0.50831,0.86683,0.000665269,0.000665269,0.000665269
2,334.737,0.65103,0.62831,1.01875,0.96035,0.93306,0.97566,0.88205,0.45958,0.4369,0.86261,0.00128798,0.00128798,0.00128798
3,500.78,0.63251,0.58564,1.01256,0.94226,0.87397,0.94147,0.8302,0.51366,0.49487,0.89422,0.00186669,0.00186669,0.00186669
4,659.072,0.61971,0.55426,1.00607,0.9606,0.95662,0.98107,0.90306,0.40623,0.36804,0.84449,0.001802,0.001802,0.001802
5,819.267,0.58599,0.5169,0.99395,0.97275,0.95737,0.98689,0.92343,0.3735,0.32002,0.82485,0.001736,0.001736,0.001736
6,983.001,0.56334,0.49428,0.98424,0.96878,0.93429,0.9744,0.90532,0.40091,0.36183,0.84054,0.00167,0.00167,0.00167
7,1143.67,0.54957,0.47891,0.97739,0.96476,0.96279,0.9856,0.92804,0.34962,0.3,0.82738,0.001604,0.001604,0.001604
8,1300.71,0.53397,0.45552,0.96909,0.97251,0.96578,0.98942,0.93315,0.35359,0.28768,0.8219,0.001538,0.001538,0.001538
9,1460.92,0.52479,0.45719,0.96641,0.97587,0.95755,0.98606,0.93446,0.34099,0.28617,0.81844,0.001472,0.001472,0.001472
